Epic Key,Epic Summary,Priority,Planned Start,Planned End,Actual Start,Actual End,Percent Complete,ETA
PNYNJ-2973,Terminal Hub,Low,24-10-2025,25-11-2025,24-10-2025,25-11-2025,2.78,25-11-2025
PNYNJ-1839,Multi-Language Content Architecture & Airport-Specific Routing,Low,20-08-2025,02-09-2025,20-08-2025,11-11-2025,27.27,11-11-2025
PNYNJ-2403,C20 - Terminal Hub Hero,Medium,29-10-2025,25-11-2025,29-10-2025,25-11-2025,30,25-11-2025
PNYNJ-503,Feedback Form - Dynamic Component,Low,25-06-2025,25-11-2025,25-06-2025,25-11-2025,33.33,25-11-2025
PNYNJ-626,Search Results - Dynamic Component,Medium,25-06-2025,16-10-2025,25-06-2025,28-10-2025,40,28-10-2025
PNYNJ-1715,Airline Table,Medium,01-10-2025,25-11-2025,01-10-2025,25-11-2025,42.86,25-11-2025
PNYNJ-749,C7 - Split Image & Text,Low,06-08-2025,29-10-2025,24-09-2025,25-11-2025,58.33,25-11-2025
PNYNJ-914,C17 - Media Asset (Image + Video),Medium,03-09-2025,15-10-2025,01-10-2025,11-11-2025,64.71,11-11-2025
PNYNJ-764,C8 - Info Banner,Medium,20-08-2025,29-10-2025,23-09-2025,11-11-2025,66.67,11-11-2025
PNYNJ-880,C13 - Spotlight,Medium,20-08-2025,29-10-2025,17-09-2025,25-11-2025,66.67,25-11-2025
PNYNJ-607,Taxi Wait Times [Dynamic Component],High,18-08-2025,22-10-2025,24-06-2025,25-11-2025,68.42,25-11-2025
PNYNJ-2264,D12 - Advisory Grid,Medium,01-10-2025,28-10-2025,01-10-2025,28-10-2025,71.43,28-10-2025
PNYNJ-1875,[Flight Tracker] Flight Details,High,20-08-2025,16-09-2025,20-08-2025,28-10-2025,72,28-10-2025
PNYNJ-902,C16 - Static Grid,High,20-08-2025,15-10-2025,17-09-2025,28-10-2025,72.73,28-10-2025
PNYNJ-724,C3 - Carousels,High,09-07-2025,15-10-2025,17-09-2025,25-11-2025,74.19,25-11-2025
PNYNJ-63,[Tech] Architecture Blueprint,Medium,09-04-2025,06-09-2025,09-04-2025,02-11-2025,74.71,02-11-2025
PNYNJ-710,AEM Authoring Configurations (Site/Page level),High,06-08-2025,29-10-2025,01-10-2025,11-11-2025,76,11-11-2025
PNYNJ-1129,Alert Banner - Dynamic Component,Medium,06-08-2025,15-10-2025,06-08-2025,11-11-2025,76.47,11-11-2025
PNYNJ-682,C2 - Global Footer,High,25-06-2025,15-10-2025,17-09-2025,11-11-2025,78.57,11-11-2025
PNYNJ-501,Accessibility,Low,25-06-2025,15-10-2025,25-06-2025,15-10-2025,80,15-10-2025
PNYNJ-669,C1 - Global Header,High,23-07-2025,05-11-2025,15-06-2025,13-11-2025,80.95,13-11-2025
PNYNJ-498,Flight Tracker - Flights Results [Dynamic Component],High,25-06-2025,15-10-2025,25-06-2025,02-11-2025,81.82,02-11-2025
PNYNJ-1921,C19 - Navigation Group,High,03-09-2025,15-10-2025,17-09-2025,11-11-2025,81.82,11-11-2025
PNYNJ-1584,MISC,Medium,30-04-2025,16-09-2025,16-04-2025,28-10-2025,82.86,28-10-2025
PNYNJ-767,C9 - Advisory Notification,Medium,03-09-2025,12-11-2025,01-10-2025,11-11-2025,83.33,11-11-2025
PNYNJ-1024,C21 - Walk Times,High,03-09-2025,01-10-2025,01-10-2025,28-10-2025,83.33,28-10-2025
PNYNJ-2265,C24 - Advisory Detail,Medium,15-10-2025,11-11-2025,15-10-2025,11-11-2025,83.33,11-11-2025
PNYNJ-299,Living Design System,Medium,14-05-2025,04-12-2025,01-04-2025,09-02-2026,83.53,09-02-2026
PNYNJ-889,C14 - Table,Medium,20-08-2025,30-09-2025,20-08-2025,29-10-2025,84.21,29-10-2025
PNYNJ-608,Parking [Dynamic Component],Medium,06-08-2025,31-10-2025,20-06-2025,21-11-2025,84.62,21-11-2025
PNYNJ-703,C4 - Title Lockup,High,25-06-2025,01-10-2025,29-10-2025,11-11-2025,84.62,11-11-2025
PNYNJ-1737,C18 - Accordion,Medium,03-09-2025,15-10-2025,17-09-2025,28-10-2025,84.62,28-10-2025
PNYNJ-495,Dynamic Grid with Filters & Detail Pages (Atrius) [Dynamic Component],High,25-06-2025,16-10-2025,25-06-2025,04-12-2025,85.15,04-12-2025
PNYNJ-988,Security/Customs Wait Times [Dynamic Component],Medium,23-07-2025,16-09-2025,23-07-2025,14-11-2025,87.27,14-11-2025
PNYNJ-731,C6 - Promo Banner,Medium,23-07-2025,01-10-2025,03-09-2025,28-10-2025,88.24,28-10-2025
PNYNJ-883,Dynamic Component - Multi-Search,High,23-07-2025,30-09-2025,23-07-2025,29-10-2025,88.41,29-10-2025
PNYNJ-232,[Tech] Frontend Architecture,High,28-10-2025,11-11-2025,28-10-2025,11-11-2025,92.86,11-11-2025
PNYNJ-775,C11 - Rich Text Editor,Medium,09-07-2025,01-10-2025,17-09-2025,28-10-2025,93.33,28-10-2025
PNYNJ-707,C5 - Cards,High,25-06-2025,15-10-2025,17-09-2025,28-10-2025,93.55,28-10-2025
PNYNJ-772,C10 - Hero,Medium,06-08-2025,15-10-2025,17-09-2025,28-10-2025,94.44,28-10-2025
PNYNJ-989,Terminal Hub Wait Times [Dynamic Component],Medium,25-06-2025,28-10-2025,25-06-2025,24-10-2025,100,24-10-2025
